2023-10-07 19:07:19 startup archives install
2023-10-07 19:07:19 install base-passwd:armhf <none> 3.6.1
2023-10-07 19:07:19 status half-installed base-passwd:armhf 3.6.1
2023-10-07 19:07:19 status unpacked base-passwd:armhf 3.6.1
2023-10-07 19:07:19 configure base-passwd:armhf 3.6.1 3.6.1
2023-10-07 19:07:19 status half-configured base-passwd:armhf 3.6.1
2023-10-07 19:07:19 status installed base-passwd:armhf 3.6.1
2023-10-07 19:07:19 startup archives install
2023-10-07 19:07:20 install base-files:armhf <none> 12.4+deb12u2
2023-10-07 19:07:20 status half-installed base-files:armhf 12.4+deb12u2
2023-10-07 19:07:20 status unpacked base-files:armhf 12.4+deb12u2
2023-10-07 19:07:20 configure base-files:armhf 12.4+deb12u2 12.4+deb12u2
2023-10-07 19:07:21 status half-configured base-files:armhf 12.4+deb12u2
2023-10-07 19:07:21 status installed base-files:armhf 12.4+deb12u2
2023-10-07 19:07:21 startup archives install
2023-10-07 19:07:21 upgrade dpkg 1.21.22 1.21.22
2023-10-07 19:07:21 status half-configured dpkg 1.21.22
2023-10-07 19:07:21 status unpacked dpkg 1.21.22
2023-10-07 19:07:21 status half-installed dpkg 1.21.22
2023-10-07 19:07:22 status unpacked dpkg:armhf 1.21.22
2023-10-07 19:07:22 configure dpkg:armhf 1.21.22 1.21.22
2023-10-07 19:07:22 status half-configured dpkg:armhf 1.21.22
2023-10-07 19:07:22 status installed dpkg:armhf 1.21.22
2023-10-07 19:07:22 startup archives install
2023-10-07 19:07:22 install libc6:armhf <none> 2.36-9+deb12u2
2023-10-07 19:07:22 status half-installed libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:23 status unpacked libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:23 configure libc6:armhf 2.36-9+deb12u2 2.36-9+deb12u2
2023-10-07 19:07:23 status half-configured libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:23 status installed libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:23 startup archives install
2023-10-07 19:07:23 install perl-base:armhf <none> 5.36.0-7
2023-10-07 19:07:23 status half-installed perl-base:armhf 5.36.0-7
2023-10-07 19:07:24 status unpacked perl-base:armhf 5.36.0-7
2023-10-07 19:07:24 configure perl-base:armhf 5.36.0-7 5.36.0-7
2023-10-07 19:07:24 status half-configured perl-base:armhf 5.36.0-7
2023-10-07 19:07:24 status installed perl-base:armhf 5.36.0-7
2023-10-07 19:07:24 startup archives install
2023-10-07 19:07:24 install mawk:armhf <none> 1.3.4.20200120-3.1
2023-10-07 19:07:24 status half-installed mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:24 status unpacked mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:24 configure mawk:armhf 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-10-07 19:07:24 status half-configured mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:24 status installed mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:24 startup archives install
2023-10-07 19:07:24 install debconf:all <none> 1.5.82
2023-10-07 19:07:24 status half-installed debconf:all 1.5.82
2023-10-07 19:07:25 status unpacked debconf:all 1.5.82
2023-10-07 19:07:25 configure debconf:all 1.5.82 1.5.82
2023-10-07 19:07:25 status half-configured debconf:all 1.5.82
2023-10-07 19:07:25 status installed debconf:all 1.5.82
2023-10-07 19:07:25 startup archives unpack
2023-10-07 19:07:25 install adduser:all <none> 3.134
2023-10-07 19:07:25 status half-installed adduser:all 3.134
2023-10-07 19:07:25 status unpacked adduser:all 3.134
2023-10-07 19:07:25 install apt:armhf <none> 2.6.1
2023-10-07 19:07:25 status half-installed apt:armhf 2.6.1
2023-10-07 19:07:26 status unpacked apt:armhf 2.6.1
2023-10-07 19:07:26 upgrade base-files:armhf 12.4+deb12u2 12.4+deb12u2
2023-10-07 19:07:26 status half-configured base-files:armhf 12.4+deb12u2
2023-10-07 19:07:26 status unpacked base-files:armhf 12.4+deb12u2
2023-10-07 19:07:26 status half-installed base-files:armhf 12.4+deb12u2
2023-10-07 19:07:26 status unpacked base-files:armhf 12.4+deb12u2
2023-10-07 19:07:26 upgrade base-passwd:armhf 3.6.1 3.6.1
2023-10-07 19:07:26 status half-configured base-passwd:armhf 3.6.1
2023-10-07 19:07:26 status unpacked base-passwd:armhf 3.6.1
2023-10-07 19:07:26 status half-installed base-passwd:armhf 3.6.1
2023-10-07 19:07:26 status unpacked base-passwd:armhf 3.6.1
2023-10-07 19:07:26 install bash:armhf <none> 5.2.15-2+b2
2023-10-07 19:07:26 status half-installed bash:armhf 5.2.15-2+b2
2023-10-07 19:07:26 status unpacked bash:armhf 5.2.15-2+b2
2023-10-07 19:07:26 install bsdutils:armhf <none> 1:2.38.1-5+b1
2023-10-07 19:07:26 status half-installed bsdutils:armhf 1:2.38.1-5+b1
2023-10-07 19:07:26 status unpacked bsdutils:armhf 1:2.38.1-5+b1
2023-10-07 19:07:26 install coreutils:armhf <none> 9.1-1
2023-10-07 19:07:26 status half-installed coreutils:armhf 9.1-1
2023-10-07 19:07:27 status unpacked coreutils:armhf 9.1-1
2023-10-07 19:07:27 install dash:armhf <none> 0.5.12-2
2023-10-07 19:07:27 status half-installed dash:armhf 0.5.12-2
2023-10-07 19:07:27 status unpacked dash:armhf 0.5.12-2
2023-10-07 19:07:27 upgrade debconf:all 1.5.82 1.5.82
2023-10-07 19:07:27 status half-configured debconf:all 1.5.82
2023-10-07 19:07:27 status unpacked debconf:all 1.5.82
