2011-08-23 05:21:07 startup archives install
2011-08-23 05:21:07 install base-files <none> 5.0.0ubuntu28
2011-08-23 05:21:07 status half-installed base-files 5.0.0ubuntu28
2011-08-23 05:21:07 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:07 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:07 install base-passwd <none> 3.5.22
2011-08-23 05:21:07 status half-installed base-passwd 3.5.22
2011-08-23 05:21:08 status unpacked base-passwd 3.5.22
2011-08-23 05:21:08 status unpacked base-passwd 3.5.22
2011-08-23 05:21:08 configure base-passwd 3.5.22 3.5.22
2011-08-23 05:21:08 status unpacked base-passwd 3.5.22
2011-08-23 05:21:08 status half-configured base-passwd 3.5.22
2011-08-23 05:21:08 status installed base-passwd 3.5.22
2011-08-23 05:21:08 configure base-files 5.0.0ubuntu28 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:08 status half-configured base-files 5.0.0ubuntu28
2011-08-23 05:21:09 status installed base-files 5.0.0ubuntu28
2011-08-23 05:21:09 startup archives install
2011-08-23 05:21:09 upgrade dpkg 1.16.0~ubuntu7 1.16.0~ubuntu7
2011-08-23 05:21:09 status half-configured dpkg 1.16.0~ubuntu7
2011-08-23 05:21:09 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:09 status half-installed dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status half-installed dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 configure dpkg 1.16.0~ubuntu7 1.16.0~ubuntu7
2011-08-23 05:21:10 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status half-configured dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 status installed dpkg 1.16.0~ubuntu7
2011-08-23 05:21:10 startup archives install
2011-08-23 05:21:10 install libc6 <none> 2.13-0ubuntu13
2011-08-23 05:21:10 status half-installed libc6 2.13-0ubuntu13
2011-08-23 05:21:13 status unpacked libc6 2.13-0ubuntu13
2011-08-23 05:21:13 status unpacked libc6 2.13-0ubuntu13
2011-08-23 05:21:13 configure libc6 2.13-0ubuntu13 2.13-0ubuntu13
2011-08-23 05:21:13 status unpacked libc6 2.13-0ubuntu13
2011-08-23 05:21:13 status unpacked libc6 2.13-0ubuntu13
2011-08-23 05:21:13 status half-configured libc6 2.13-0ubuntu13
2011-08-23 05:21:15 status installed libc6 2.13-0ubuntu13
2011-08-23 05:21:15 startup archives install
2011-08-23 05:21:15 install perl-base <none> 5.10.1-17ubuntu4
2011-08-23 05:21:15 status half-installed perl-base 5.10.1-17ubuntu4
2011-08-23 05:21:17 status unpacked perl-base 5.10.1-17ubuntu4
2011-08-23 05:21:17 status unpacked perl-base 5.10.1-17ubuntu4
2011-08-23 05:21:17 configure perl-base 5.10.1-17ubuntu4 5.10.1-17ubuntu4
2011-08-23 05:21:17 status unpacked perl-base 5.10.1-17ubuntu4
2011-08-23 05:21:17 status half-configured perl-base 5.10.1-17ubuntu4
2011-08-23 05:21:17 status installed perl-base 5.10.1-17ubuntu4
2011-08-23 05:21:17 startup archives install
2011-08-23 05:21:17 install mawk <none> 1.3.3-15ubuntu2
2011-08-23 05:21:17 status half-installed mawk 1.3.3-15ubuntu2
2011-08-23 05:21:17 status unpacked mawk 1.3.3-15ubuntu2
2011-08-23 05:21:17 status unpacked mawk 1.3.3-15ubuntu2
2011-08-23 05:21:17 configure mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2011-08-23 05:21:17 status unpacked mawk 1.3.3-15ubuntu2
2011-08-23 05:21:17 status half-configured mawk 1.3.3-15ubuntu2
2011-08-23 05:21:18 status installed mawk 1.3.3-15ubuntu2
2011-08-23 05:21:18 startup archives unpack
2011-08-23 05:21:18 install adduser <none> 3.112+nmu1ubuntu5
2011-08-23 05:21:18 status half-installed adduser 3.112+nmu1ubuntu5
2011-08-23 05:21:19 status unpacked adduser 3.112+nmu1ubuntu5
2011-08-23 05:21:19 status unpacked adduser 3.112+nmu1ubuntu5
2011-08-23 05:21:19 upgrade base-files 5.0.0ubuntu28 5.0.0ubuntu28
2011-08-23 05:21:19 status half-configured base-files 5.0.0ubuntu28
2011-08-23 05:21:19 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:19 status half-installed base-files 5.0.0ubuntu28
2011-08-23 05:21:19 status half-installed base-files 5.0.0ubuntu28
2011-08-23 05:21:19 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:19 status unpacked base-files 5.0.0ubuntu28
2011-08-23 05:21:19 upgrade base-passwd 3.5.22 3.5.22
2011-08-23 05:21:19 status half-configured base-passwd 3.5.22
2011-08-23 05:21:19 status unpacked base-passwd 3.5.22
2011-08-23 05:21:19 status half-installed base-passwd 3.5.22
2011-08-23 05:21:19 status half-installed base-passwd 3.5.22
2011-08-23 05:21:19 status unpacked base-passwd 3.5.22
2011-08-23 05:21:19 status unpacked base-passwd 3.5.22
2011-08-23 05:21:20 install bash <none> 4.2-0ubuntu3
2011-08-23 05:21:20 status half-installed bash 4.2-0ubuntu3
2011-08-23 05:21:20 status unpacked bash 4.2-0ubuntu3
2011-08-23 05:21:20 status unpacked bash 4.2-0ubuntu3
